number,value,datetime_start,datetime_complete,duration,params_Q10,params_SPAN,params_TDWI,params_TSUM1,params_TSUM2,state
1289,53.3136724101587,2024-03-04 11:47:25.617275,2024-03-04 11:47:25.674658,0 days 00:00:00.057383,2.1641766140601324,34.20080814215352,0.4915364747511872,536.6573908047665,1325.1650552539866,COMPLETE
1290,344.90643971369366,2024-03-04 11:47:25.881155,2024-03-04 11:47:25.932115,0 days 00:00:00.050960,2.181397420984782,34.49825852950948,0.5787520707822383,523.873504445976,1515.6815902228507,COMPLETE
1291,913.3946604029223,2024-03-04 11:47:26.121109,2024-03-04 11:47:26.172082,0 days 00:00:00.050973,1.9735904745062154,36.9220268028901,0.593677354544914,609.6059672789019,1268.8060344926066,COMPLETE
1292,150.50871917007387,2024-03-04 11:47:26.358958,2024-03-04 11:47:26.409931,0 days 00:00:00.050973,2.0741557906398453,32.97258199530303,0.5173986586031509,532.191388478474,1436.4198162871294,COMPLETE
1293,94.73709574335635,2024-03-04 11:47:26.601956,2024-03-04 11:47:26.653448,0 days 00:00:00.051492,2.086775695955612,35.39990034605798,0.5374596198376347,542.4150613059435,1307.7162690828955,COMPLETE
1294,564.6897744895728,2024-03-04 11:47:26.838307,2024-03-04 11:47:26.890177,0 days 00:00:00.051870,2.0568184109122623,33.534876261510064,0.5335655835270208,509.8257549770951,1227.3777608521018,COMPLETE
1295,815.8519456074031,2024-03-04 11:47:27.088072,2024-03-04 11:47:27.147518,0 days 00:00:00.059446,2.027800118420716,33.29867568775109,0.574048910833719,589.7670491617404,1347.4002665926018,COMPLETE
1296,566.3131086735353,2024-03-04 11:47:27.342408,2024-03-04 11:47:27.394145,0 days 00:00:00.051737,1.9565200408770458,32.79048056134557,0.5500619286498966,553.5829936798613,1503.5458740128681,COMPLETE
1297,2492.151041810256,2024-03-04 11:47:27.598209,2024-03-04 11:47:27.654856,0 days 00:00:00.056647,2.0653180767388286,36.114557835783586,0.5868728135611264,727.1282669428881,1422.9811166002019,COMPLETE
1298,192.83102842903023,2024-03-04 11:47:27.855654,2024-03-04 11:47:27.913594,0 days 00:00:00.057940,2.0026349585392955,33.721211433654545,0.5578162796423888,518.3845333843801,1331.2127181785079,COMPLETE
